node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
85,8.0,7.0,0.00292234360108166,-0.0006698577077236892,-0.00037632381525604634,116893.7440432664,1.0,1,0.0
86,9.0,7.0,0.002253928880197002,-0.0006544343847615826,-0.00021357380127943486,90157.15520788009,1.0,1,0.0
87,10.0,7.0,0.0016086581991842342,-0.0006379742083445834,-0.00010895544453863301,64346.32796736937,0.5,1,0.0
88,0.0,8.0,0.0014858818085904703,0.0005037620562957817,-0.00018098494416918492,59435.27234361881,0.5,1,0.0
89,1.0,8.0,0.0019912696792328812,0.000505854866481134,-0.00030031621875359343,79650.78716931526,1.0,1,0.0
90,2.0,8.0,0.002488343748070587,0.00047581718918976364,-0.00047581718918980435,99533.74992282348,1.0,1,0.0
91,3.0,8.0,0.002922343601081772,0.0003763238152559949,-0.0006698577077236907,116893.74404327088,1.0,1,0.0
92,4.0,8.0,0.0032169176510811843,0.00020713238608865736,-0.0008248006203684487,128676.70604324737,1.0,1,0.0
93,5.0,8.0,0.0033228750443977284,-2.880571829494485e-17,-0.0008833160663724503,132915.00177590913,1.0,1,0.0
94,6.0,8.0,0.0032169176510811266,-0.00020713238608871385,-0.0008248006203684515,128676.70604324507,1.0,1,0.0
95,7.0,8.0,0.00292234360108166,-0.0003763238152560446,-0.000669857707723688,116893.7440432664,1.0,1,0.0
96,8.0,8.0,0.002488343748070434,-0.0004758171891898004,-0.00047581718918980056,99533.74992281735,1.0,1,0.0
97,9.0,8.0,0.0019912696792326913,-0.0005058548664811683,-0.00030031621875359056,79650.78716930764,1.0,1,0.0
98,10.0,8.0,0.0014858818085902478,-0.0005037620562958128,-0.00018098494416918853,59435.27234360991,0.5,1,0.0
99,0.0,9.0,0.0012883187322267043,0.0003676784573677535,-0.0002525281363755723,51532.74928906817,0.5,1,0.0
100,1.0,9.0,0.0016552585225676811,0.00035389900139778176,-0.00035389900139782166,66210.34090270725,1.0,1,0.0
101,2.0,9.0,0.001991269679232841,0.0003003162187535508,-0.0005058548664811747,79650.78716931364,1.0,1,0.0
102,3.0,9.0,0.002253928880197106,0.00021357380127938274,-0.0006544343847615908,90157.15520788424,1.0,1,0.0
103,4.0,9.0,0.002419081083490054,0.00011028239653026807,-0.0007655037146143561,96763.24333960215,1.0,1,0.0
104,5.0,9.0,0.0024750341774451303,-3.028078078407131e-17,-0.0008073657913911904,99001.36709780521,1.0,1,0.0
105,6.0,9.0,0.0024190810834899983,-0.00011028239653031836,-0.0007655037146143503,96763.24333959994,1.0,1,0.0
106,7.0,9.0,0.0022539288801970035,-0.00021357380127942697,-0.0006544343847615838,90157.15520788013,1.0,1,0.0
107,8.0,9.0,0.0019912696792326943,-0.00030031621875359165,-0.0005058548664811664,79650.78716930778,1.0,1,0.0
108,9.0,9.0,0.0016552585225674962,-0.00035389900139781954,-0.0003538990013978158,66210.34090269984,1.0,1,0.0
109,10.0,9.0,0.0012883187322264807,-0.0003676784573677952,-0.00025252813637556873,51532.749289059226,0.5,1,0.0
110,0.0,10.0,0.0010243728663272154,0.00028442054289518987,-0.0002844205428952307,40974.914653088614,0.25,1,0.0
111,1.0,10.0,0.0012883187322266637,0.0002525281363755315,-0.00036767845736779644,51532.74928906655,0.5,1,0.0
112,2.0,10.0,0.0014858818085903896,0.00018098494416914505,-0.000503762056295821,59435.27234361559,0.5,1,0.0
113,3.0,10.0,0.001608658199184331,0.00010895544453858287,-0.0006379742083445901,64346.32796737324,0.5,1,0.0
114,4.0,10.0,0.0016703098040075392,4.913307970876618e-05,-0.0007379591169981741,66812.39216030156,0.5,1,0.0
115,5.0,10.0,0.00168826454458575,-2.574167287473469e-17,-0.000774266783771115,67530.58178343,0.5,1,0.0
116,6.0,10.0,0.0016703098040074897,-4.913307970881622e-05,-0.0007379591169981691,66812.39216029958,0.5,1,0.0
117,7.0,10.0,0.0016086581991842331,-0.00010895544453862663,-0.0006379742083445848,64346.327967369325,0.5,1,0.0
118,8.0,10.0,0.0014858818085902524,-0.00018098494416918508,-0.0005037620562958126,59435.27234361009,0.5,1,0.0
119,9.0,10.0,0.0012883187322264857,-0.0002525281363755718,-0.00036767845736778815,51532.74928905943,0.5,1,0.0
120,10.0,10.0,0.001024372866326998,-0.0002844205428952293,-0.00028442054289522445,40974.91465307992,0.25,1,0.0
