node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
87,10.0,7.0,0.004053733678478924,-0.0008654559694297973,-0.00022290687051583008,81074.67356957849,0.5,1,0.0
88,0.0,8.0,0.003797728880243456,0.0007143678881997407,-0.0003341556138033429,75954.57760486912,0.5,1,0.0
89,1.0,8.0,0.004513900384449444,0.0007140109585055152,-0.00046867025772651854,90278.00768898887,1.0,1,0.0
90,2.0,8.0,0.005212824997654946,0.0006649328623049509,-0.0006649328623049944,104256.49995309892,1.0,1,0.0
91,3.0,8.0,0.005817894660673115,0.0005220565559137867,-0.0008786866195518886,116357.8932134623,1.0,1,0.0
92,4.0,8.0,0.006227908978749579,0.0002867509477143759,-0.001048637793544817,124558.17957499158,1.0,1,0.0
93,5.0,8.0,0.006374705105475733,-8.427865671318034e-17,-0.0011127446429525963,127494.10210951466,1.0,1,0.0
94,6.0,8.0,0.006227908978749413,-0.00028675094771453397,-0.0010486377935448462,124558.17957498826,1.0,1,0.0
95,7.0,8.0,0.005817894660672794,-0.0005220565559139383,-0.0008786866195519377,116357.89321345589,1.0,1,0.0
96,8.0,8.0,0.005212824997654476,-0.0006649328623050839,-0.0006649328623050465,104256.49995308951,1.0,1,0.0
97,9.0,8.0,0.004513900384448857,-0.0007140109585056172,-0.0004686702577265908,90278.00768897713,1.0,1,0.0
98,10.0,8.0,0.0037977288802427756,-0.0007143678881998364,-0.00033415561380341206,75954.57760485551,0.5,1,0.0
99,0.0,9.0,0.0034357617529307124,0.000561346407609467,-0.0004286563596547761,68715.23505861424,0.5,1,0.0
100,1.0,9.0,0.003995847686680622,0.0005429289652255897,-0.0005429289652256231,79916.95373361245,1.0,1,0.0
101,2.0,9.0,0.004513900384449407,0.0004686702577264833,-0.0007140109585055413,90278.00768898813,1.0,1,0.0
102,3.0,9.0,0.004927772248155379,0.0003409124284768046,-0.0008811478980733701,98555.44496310757,1.0,1,0.0
103,4.0,9.0,0.005193441597173192,0.00017903806536338158,-0.0010061616039275152,103868.83194346384,1.0,1,0.0
104,5.0,9.0,0.0052846771732815104,-9.828149888071299e-17,-0.0010531755371673305,105693.54346563021,1.0,1,0.0
105,6.0,9.0,0.005193441597173001,-0.00017903806536356486,-0.0010061616039275377,103868.83194346003,1.0,1,0.0
106,7.0,9.0,0.004927772248155015,-0.00034091242847696985,-0.0008811478980734109,98555.44496310031,1.0,1,0.0
107,8.0,9.0,0.004513900384448889,-0.0004686702577266238,-0.0007140109585055915,90278.00768897778,1.0,1,0.0
108,9.0,9.0,0.003995847686679972,-0.0005429289652257094,-0.0005429289652256825,79916.95373359944,1.0,1,0.0
109,10.0,9.0,0.003435761752929954,-0.0005613464076095736,-0.0004286563596548495,68715.23505859908,0.5,1,0.0
110,0.0,10.0,0.002991731094913909,0.0004677130297309483,-0.00046771302973098495,59834.62189827818,0.25,1,0.0
111,1.0,10.0,0.0034357617529306808,0.0004286563596547475,-0.0005613464076094959,68715.23505861362,0.5,1,0.0
112,2.0,10.0,0.003797728880243396,0.00033415561380330743,-0.0007143678881997636,75954.57760486793,0.5,1,0.0
113,3.0,10.0,0.004053733678479438,0.00022290687051571898,-0.0008654559694297174,81074.67356958876,0.5,1,0.0
114,4.0,10.0,0.004202532129528056,0.00011005912999500545,-0.0009780486747333127,84050.64259056112,0.5,1,0.0
115,5.0,10.0,0.004250827033717654,-1.0312131902431061e-16,-0.001019002382448001,85016.54067435308,0.5,1,0.0
116,6.0,10.0,0.004202532129527844,-0.00011005912999520584,-0.0009780486747333324,84050.64259055689,0.5,1,0.0
117,7.0,10.0,0.004053733678479032,-0.00022290687051589348,-0.0008654559694297619,81074.67356958064,0.5,1,0.0
118,8.0,10.0,0.003797728880242832,-0.0003341556138034524,-0.0007143678881998099,75954.57760485663,0.5,1,0.0
119,9.0,10.0,0.00343576175292998,-0.00042865635965487996,-0.0005613464076095493,68715.2350585996,0.5,1,0.0
120,10.0,10.0,0.0029917310949130736,-0.000467713029731079,-0.00046771302973105776,59834.621898261474,0.25,1,0.0
