elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m,Mx_bottom_Nm_per_m,Mx_top_Nm_per_m,My_bottom_Nm_per_m,My_top_Nm_per_m,Asx_bottom_req_cm2_m,Asx_top_req_cm2_m,Asy_bottom_req_cm2_m,Asy_top_req_cm2_m,As_min_total_cm2_m,As_min_face_cm2_m,Asx_bottom_adot_cm2_m,Asx_top_adot_cm2_m,Asy_bottom_adot_cm2_m,Asy_top_adot_cm2_m,Asx_req_cm2_m,Asy_req_cm2_m,As_min_cm2_m,Asx_adot_cm2_m,Asy_adot_cm2_m,detalhe_x_inf,detalhe_x_sup,detalhe_y_inf,detalhe_y_sup
24,4.5,2.5,-178361.63151673027,-35938.92470055183,30681.49865508631,191900.92961644987,0.0095950464808224,30681.49865508631,209043.13017181656,30681.49865508631,66620.42335563814,1.782006235017639,12.141393924120656,1.782006235017639,3.8693680231810026,7.5,3.75,3.75,12.141393924120656,3.75,3.8693680231810026,12.141393924120656,3.8693680231810026,7.5,12.141393924120656,3.8693680231810026,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 10.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
25,5.5,2.5,-178361.63151673117,-35938.92470055189,-30681.498655089512,191900.929616449,0.0095950464808224,30681.498655089512,209043.1301718207,30681.498655089512,66620.4233556414,1.782006235017825,12.141393924120898,1.782006235017825,3.8693680231811918,7.5,3.75,3.75,12.141393924120898,3.75,3.8693680231811918,12.141393924120898,3.8693680231811918,7.5,12.141393924120898,3.8693680231811918,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 10.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
26,6.5,2.5,-140025.58640744883,-58700.27809256266,-81902.7096336839,182035.1724012614,0.009101758620063,81902.7096336839,221928.29604113274,81902.7096336839,140602.98772624656,4.756975559532146,12.88977477006579,4.756975559532146,8.16633514571634,7.5,3.75,4.756975559532146,12.88977477006579,4.756975559532146,8.16633514571634,12.88977477006579,8.16633514571634,7.5,12.88977477006579,8.16633514571634,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm
27,7.5,2.5,-75898.12716798198,-75898.12716798355,-88090.71774725907,164597.7193157593,0.0082298859657879,88090.71774725907,163988.84491524106,88090.71774725907,163988.84491524263,5.116380071179188,9.524604628915515,5.116380071179188,9.524604628915606,7.5,3.75,5.116380071179188,9.524604628915515,5.116380071179188,9.524604628915606,9.524604628915515,9.524604628915606,7.5,9.524604628915515,9.524604628915606,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
28,8.5,2.5,-25682.75739414373,-68284.5164616905,-73723.36113627188,143306.7460365206,0.007165337301826,73723.36113627188,99406.11853041561,73723.36113627188,142007.8775979624,4.281912389227912,5.773587692423128,4.281912389227912,8.247932284730139,7.5,3.75,4.281912389227912,5.773587692423128,4.281912389227912,8.247932284730139,5.773587692423128,8.247932284730139,7.5,5.773587692423128,8.247932284730139,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
29,9.5,2.5,-7891.118364797136,-57346.42393165274,-55489.11887187164,121051.946339283,0.0060525973169641,55489.11887187164,63380.23723666877,55489.11887187164,112835.54280352438,3.222852863770322,3.6811753950590442,3.222852863770322,6.553579506265304,7.5,3.75,3.75,3.75,3.75,6.553579506265304,3.6811753950590442,6.553579506265304,7.5,3.75,6.553579506265304,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
30,0.5,3.5,-2707.5326466275983,-64643.33071061987,41279.67126958722,128642.35757335366,0.0064321178786676,41279.67126958722,43987.203916214814,41279.67126958722,105923.00198020709,2.3975566646477424,2.5548123486690417,2.3975566646477424,6.152093549355461,7.5,3.75,3.75,3.75,3.75,6.152093549355461,2.5548123486690417,6.152093549355461,7.5,3.75,6.152093549355461,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
31,1.5,3.5,-9581.513269694917,-94591.62929359912,56760.46149229425,155169.12239325905,0.0077584561196629,56760.46149229425,66341.97476198917,56760.46149229425,151352.09078589338,3.2966934705120394,3.853195503852906,3.2966934705120394,8.790651737564513,7.5,3.75,3.75,3.853195503852906,3.75,8.790651737564513,3.853195503852906,8.790651737564513,7.5,3.853195503852906,8.790651737564513,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
32,2.5,3.5,-58700.27809256046,-140025.58640745532,81902.70963367925,182035.1724012663,0.0091017586200633,81902.70963367925,140602.98772623972,81902.70963367925,221928.29604113457,4.756975559531875,8.166335145715943,4.756975559531875,12.889774770065896,7.5,3.75,4.756975559531875,8.166335145715943,4.756975559531875,12.889774770065896,8.166335145715943,12.889774770065896,7.5,8.166335145715943,12.889774770065896,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm
33,3.5,3.5,-184088.9133592556,-184088.913359263,105778.0507870268,206525.99350190067,0.010326299675095,105778.0507870268,289866.9641462824,105778.0507870268,289866.9641462898,6.143674666923274,16.835707513546705,6.143674666923274,16.835707513547135,7.5,3.75,6.143674666923274,16.835707513546705,6.143674666923274,16.835707513547135,16.835707513546705,16.835707513547135,7.5,16.835707513546705,16.835707513547135,phi 12.5 c/ 17.5 cm,phi 16.0 c/ 10.0 cm,phi 12.5 c/ 17.5 cm,phi 16.0 c/ 10.0 cm
