elem,xc_m,yc_m,sigma_x_bottom_MPa,sigma_x_top_MPa,sigma_y_bottom_MPa,sigma_y_top_MPa,rho_x_bottom,rho_x_top,rho_y_bottom,rho_y_top,spacing_x_bottom_mm,spacing_x_top_mm,spacing_y_bottom_mm,spacing_y_top_mm,wk_est_x_bottom_mm,wk_est_x_top_mm,wk_est_y_bottom_mm,wk_est_y_top_mm,wk_est_x_mm,wk_est_y_mm,wk_limit_mm,wk_x_ok,wk_y_ok
52,2.5,5.5,147.57815610913477,310.5590062111808,147.57815610913477,310.5590062111813,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.006475410092864482,327.24923474893683,317.15376334237186,327.24923474893683,101.07444317991414,0.047741366280526255,0.21141653008996014,0.047741366280526255,0.2114165300899608,0.21141653008996014,0.2114165300899608,0.3,True,True
53,3.5,5.5,310.5590062111833,310.5590062111796,310.5590062111833,310.559006211181,0.0034906585039886596,0.0068271356912915195,0.0034906585039886596,0.011442016468060512,315.6169442630298,95.86721270718718,315.6169442630298,57.2013221030449,0.21141653008996356,0.2114165300899585,0.21141653008996356,0.2114165300899604,0.21141653008996356,0.21141653008996356,0.3,True,True
54,4.5,5.5,305.1739939820662,310.55900621118076,305.1739939820662,310.55900621118013,0.0034906585039886596,0.0178829351772728,0.0034906585039886596,0.017882935177272862,327.24923474893683,36.59905172220652,327.24923474893683,36.59905172220639,0.20414828090733042,0.1765926765730723,0.20414828090733042,0.17659267657307143,0.20414828090733042,0.20414828090733042,0.3,True,True
55,5.5,5.5,305.17399398203327,310.55900621117974,305.17399398203327,310.55900621118013,0.0034906585039886596,0.017882935177272723,0.0034906585039886596,0.017882935177272765,327.24923474893683,36.599051722206674,327.24923474893683,36.59905172220658,0.2041482809072864,0.17659267657307237,0.2041482809072864,0.1765926765730722,0.2041482809072864,0.2041482809072864,0.3,True,True
56,6.5,5.5,310.55900621118144,310.5590062111817,310.55900621118144,310.55900621118064,0.0034906585039886596,0.0068271356912914735,0.0034906585039886596,0.011442016468060529,315.6169442630625,95.86721270718782,315.6169442630625,57.20132210304482,0.211416530089961,0.2114165300899614,0.211416530089961,0.21141653008995995,0.2114165300899614,0.211416530089961,0.3,True,True
57,7.5,5.5,147.57815610912456,310.55900621117894,147.57815610912456,310.55900621118053,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0064754100928646535,327.24923474893683,317.1537633423699,327.24923474893683,101.07444317991146,0.04774136628051965,0.21141653008995762,0.04774136628051965,0.21141653008995978,0.21141653008995762,0.21141653008995978,0.3,True,True
58,8.5,5.5,112.72558780677014,102.33523428663935,102.33523428663935,310.5590062111813,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.004012301749882687,327.24923474893683,327.24923474893683,327.24923474893683,163.1229429633526,0.02785452143032343,0.02295625606139864,0.02295625606139864,0.2114165300899608,0.02785452143032343,0.2114165300899608,0.3,True,True
59,9.5,5.5,78.61634326009154,73.39439596092166,73.39439596092166,310.5590062111808,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,327.24923474893683,327.24923474893683,256.115613824996,0.013548036642968261,0.011808003824528757,0.011808003824528757,0.21141653008996014,0.013548036642968261,0.21141653008996014,0.3,True,True
60,0.5,6.5,198.55541736212462,211.57866241564795,198.55541736212462,310.5590062111806,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,327.24923474893683,327.24923474893683,199.47431235618097,0.08641998082398639,0.09812833239704694,0.08641998082398639,0.21141653008995984,0.09812833239704694,0.21141653008995984,0.3,True,True
61,1.5,6.5,273.0180927960241,310.5590062111775,273.0180927960241,310.55900621117854,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.004688347593367591,327.24923474893683,318.48491183003085,327.24923474893683,139.60109750048508,0.1633930354620466,0.21141653008995562,0.1633930354620466,0.21141653008995706,0.21141653008995562,0.21141653008995706,0.3,True,True
62,2.5,6.5,310.55900621118053,310.55900621118053,310.55900621118053,310.55900621118,0.0034906585039886596,0.004355378744381999,0.0034906585039886596,0.006874546544035044,257.975811511056,150.27360601924943,257.975811511056,95.20605690942243,0.21141653008995978,0.21141653008995978,0.21141653008995978,0.21141653008995906,0.21141653008995978,0.21141653008995978,0.3,True,True
